services.hub.intro	Four trades under one roof — laser cutting, welding, powder coating, and sandblasting. See how each one works, browse finished examples, and request a quotation directly.
services.powdercoating.cardTeaser	The flat, factory-deep black on our X-base frames and gate panels — electrostatically applied, oven-cured, built to shrug off years of handling and weather.
services.powdercoating.explanation	Every X-base table leg, chair frame, and gate panel that leaves BOKA in black, anthracite, or one of our RAL colors gets there the same way: dry polymer powder charged and drawn onto bare steel, then baked in an oven until it flows into one continuous shell. There's no solvent flashing off and no drips pooling where an X-base leg meets the crossbar — just an even film wrapping every edge, weld line, and laser-cut slot to the same thickness. That matters twice over on furniture: it's the surface a chair leg scrapes against tile for years, and it's the finish that has to hide a ground-smooth weld seam, not highlight it. Outdoors, on a gate or a vertical-slat panel that sits in sun and rain, the same coating is what keeps black from chalking and color from washing out season after season.
services.powdercoating.turnaround	Turnaround runs on piece size, color, and how many pieces are in the batch — confirmed for your project when you request a quotation.
services.powdercoating.process.step1	Strip and pre-treat the steel — degreased and profiled, often straight off a sandblasting pass — so there's nothing between the powder and bare metal
services.powdercoating.process.step2	Mask hinge pins, threaded inserts, and brass hardware mounts that need to stay bare
services.powdercoating.process.step3	Charge the powder electrostatically so it wraps every laser-cut edge and welded corner evenly, then cure it in the oven until it flows into a single film
services.powdercoating.process.step4	Cool, inspect every panel and joint under light for thin spots or pinholing, and touch up before it ships
services.welding.cardTeaser	The joint at the center of every X-base table, chair frame, and gate corner — fused, ground flush, and built to carry weight, not just hold a shape.
services.welding.explanation	Every X-base table starts as separate cuts of bar and tube stock — legs, crossmember, top frame — until welding fuses them into one rigid structure at the point where the X crosses. Same logic on a chair frame, where the seat rail meets the leg, or on a gate, where a Greek-key trim panel is welded into its surrounding frame instead of just bolted on, so the pattern reads as one solid piece rather than hardware stuck to a backing plate. Weld quality shows twice: structurally, in whether the joint holds under load and years of use, and visually, since a rough or undercut seam on furniture people sit at and touch reads as unfinished the moment the light catches it. We weld for both — full-strength joints first, then ground and blended until the seam disappears under the finish coat.
services.welding.methods	Structural joins for frames, bases, and gate panels — mitred X-base corners, flush chair-frame seams, and gate trim welded rather than bolted into its frame, every joint ground smooth before it goes to finishing.
services.welding.turnaround	Turnaround depends on how many joints the piece has and how much grinding a clean finish needs — confirmed for your project when you request a quotation.
services.welding.process.step1	Cut and square every piece — legs, crossmembers, trim panels — so the fit-up is tight before any heat goes near it
services.welding.process.step2	Clamp and tack the assembly in position, checking the X-base angle or frame squareness before committing to a full weld
services.welding.process.step3	Run the structural weld pass on every joint that carries load — the X crossing, seat rails, gate corners and trim
services.welding.process.step4	Grind and blend each seam flush, then check the finished frame for square, level, and strength before it moves to finishing
services.lasercutting.cardTeaser	Every repeat in a Greek-key trim, every slat in a vertical-slat gate, cut to the same line — so brass hardware seats where it's supposed to, first time.
services.lasercutting.explanation	A CNC laser follows a design file through steel sheet with a precision no hand tool matches, and that's what makes a Greek-key trim pattern possible at all — dozens of identical right-angle turns, cut the same way every time, so the pattern reads as continuous instead of hand-fudged. The same precision is why brass hinges and handles on our gates seat exactly where they're meant to instead of needing a hand-drilled workaround, and why a set of nesting coffee tables actually nests — each top and frame cut to a tolerance tight enough that the smaller table slides under the next size up with a consistent reveal, not a gap that changes table to table. Vertical-slat gate panels depend on it too: even spacing across a wide opening, slat after slat, is a laser-cutting result, not a welding one. It's the process we reach for anytime a design has a repeating pattern, a tight tolerance, or an edge that has to be weld- or finish-ready with no rework.
services.lasercutting.precision	Tight, repeatable tolerances from the first cut to the last in a run — the reason patterned trim lines up, nesting pieces actually nest, and hardware sits flush without hand-fitting.
services.lasercutting.turnaround	Turnaround depends on pattern complexity and sheet thickness — confirmed for your project when you request a quotation.
services.lasercutting.process.step1	Prepare the cut file from the approved design or pattern — Greek-key repeat, slat spacing, nesting radii — and load steel at the required thickness
services.lasercutting.process.step2	Run the laser cut, tracing every line, corner, and repeat in the pattern exactly as drawn
services.lasercutting.process.step3	Deburr every cut edge so slats, trim, and hardware mounts are smooth to the touch before assembly
services.lasercutting.process.step4	Dry-fit panels and hardware against the design to confirm the pattern repeats true and everything lines up, then hand off to welding or finishing
services.sandblasting.cardTeaser	Bare metal, roughened just enough to grip — the unglamorous step that decides whether a gate's powder coat lasts years or one season.
services.sandblasting.explanation	Sandblasting drives abrasive media at high pressure against bare steel to strip away mill scale, rust, and any old coating down to clean metal, and leaves a slightly roughened profile behind it — texture the next coat of powder or paint can grip, rather than sitting loosely on a surface too smooth or too contaminated to bond to. It's the step most people skip when they're patching an old gate or railing themselves, and it's also the most common reason that kind of repaint fails early, bubbling or flaking off within a season because nothing was keying it to the metal underneath. We run it before every powder-coating job that leaves the shop, especially on gates and outdoor steel where the finish has to survive weather and not just a showroom, and we also run it on its own for anyone restoring old steelwork back to bare metal before deciding what comes next.
services.sandblasting.turnaround	Turnaround depends on surface area and how much old coating or corrosion there is to strip — confirmed for your project when you request a quotation.
